,,,,Fant,Fant,Fant
Rk,,Tm,FantPos,FantPt,PosRank,OvRank
1,Todd Gurley+GurlTo01,LAR,RB,319,1,1
2,Le'Veon Bell+BellLe00,PIT,RB,257,2,2
3,Kareem HuntHuntKa00,KAN,RB,242,3,3
4,Alvin KamaraKamaAl00,NOR,RB,233,4,4
5,Melvin GordonGordMe00,LAC,RB,230,5,5
6,DeAndre Hopkins+HopkDe00,HOU,WR,214,1,6
7,Antonio Brown+BrowAn04,PIT,WR,209,2,7
8,Mark IngramIngrMa01,NOR,RB,220,6,8
9,Russell WilsonWilsRu00,SEA,QB,348,1,9
10,LeSean McCoyMcCoLe01,BUF,RB,205,7,10
11,Rob Gronkowski+GronRo00,NWE,TE,158,1,11
12,Travis KelceKelcTr00,KAN,TE,151,2,12
13,Leonard FournetteFourLe00,JAX,RB,194,8,13
14,Keenan AllenAlleKe00,LAC,WR,176,3,14
15,Tyreek HillHillTy00,KAN,WR,164,4,15
16,Marvin JonesJoneMa02,DET,WR,164,5,16
17,Julio JonesJoneJu02,ATL,WR,164,6,17
18,Ezekiel ElliottElliEz00,DAL,RB,177,9,18
19,Jordan HowardHowaJo00,CHI,RB,177,10,19
20,Carlos HydeHydeCa00,SFO,RB,175,11,20
21,Zach ErtzErtzZa00,PHI,TE,128,3,21
22,Brandin CooksCookBr00,NWE,WR,156,7,22
23,Cam NewtonNewtCa00,CAR,QB,299,2,23
24,Michael ThomasThomMi05,NOR,WR,155,8,24
25,Larry FitzgeraldFitzLa00,ARI,WR,152,9,25
26,A.J. GreenGreeA.00,CIN,WR,152,10,26
27,Tom Brady+BradTo00,NWE,QB,296,3,27
28,Alex SmithSmitAl03,KAN,QB,295,4,28
29,Dion LewisLewiDi00,NWE,RB,165,12,29
30,Adam ThielenThieAd00,MIN,WR,149,11,30
31,Davante AdamsAdamDa01,GNB,WR,149,12,31
32,Doug BaldwinBaldDo00,SEA,WR,148,13,32
33,Devonta FreemanFreeDe00,ATL,RB,164,13,33
34,Jarvis LandryLandJa00,MIA,WR,148,14,34
35,Jimmy GrahamGrahJi00,SEA,TE,114,4,35
36,Lamar MillerMillLa01,HOU,RB,158,14,36
37,Alshon JefferyJeffAl00,PHI,WR,139,15,37
38,Evan EngramEngrEv00,NYG,TE,110,5,38
39,Carson WentzWentCa00,PHI,QB,282,5,39
40,Robby AndersonAndeRo04,NYJ,WR,137,16,40
41,Stefon DiggsDiggSt00,MIN,WR,134,17,41
42,JuJu Smith-SchusterSmitJu00,PIT,WR,134,18,42
43,Kirk CousinsCousKi00,WAS,QB,278,6,43
